words_in_post_title,frequency
ghost,101
paranormal,37
house,28
something,27
haunted,26
one,25
spirit,24
think,24
friend,23
see,22
experience,22
story,21
thing,21
old,18
like,17
know,16
last,16
home,16
encounter,15
saw,15
figure,15
time,15
camera,15
heard,14
year,14
room,13
tattoo,13
share,13
took,13
photo,13
anyone,12
caught,12
picture,12
video,12
shadow,12
dream,11
door,11
weird,11
real,11
hear,11
night,11
seen,11
back,11
family,11
first,10
daughter,10
thought,10
happened,10
someone,10
ever,9
believe,9
made,9
really,9
school,9
mom,9
people,9
dead,9
person,8
child,8
many,8
voice,8
tell,8
activity,8
man,8
doe,8
light,8
felt,8
deceased,7
strange,7
day,7
dog,7
angel,7
taken,7
died,7
childhood,7
demon,7
face,7
please,7
sure,7
wanted,7
guy,7
help,7
used,7
experienced,6
great,6
noise,6
never,6
energy,6
place,6
pic,6
grandmother,6
say,6
grandma,6
white,6
need,6
watch,6
want,6
theory,6
else,6
came,6
best,6
sleep,6
talking,6
question,6
call,6
cat,6
right,6
visit,5
behind,5
entity,5
sub,5
living,5
window,5
evil,5
spooky,5
second,5
sound,5
saying,5
make,5
post,5
evidence,5
seeing,5
life,5
went,5
cemetery,5
away,5
pt,4
black,4
witch,4
edinburgh,4
bed,4
anything,4
mother,4
started,4
haunting,4
two,4
happening,4
prison,4
stuff,4
hour,4
across,4
animal,4
mean,4
outside,4
visited,4
asylum,4
good,4
shelf,4
watching,4
hotel,4
ring,4
town,4
new,4
scared,4
keep,4
grandfather,4
loved,4
look,4
doll,4
always,4
creature,4
every,4
conjuring,4
live,4
horror,4
told,4
possible,4
going,4
little,4
boy,4
grandpa,4
separate,4
seem,4
much,4
open,4
without,4
park,4
full,3
universe,3
apartment,3
missing,3
left,3
tube,3
difference,3
show,3
recording,3
mama,3
key,3
dark,3
motion,3
stabby,3
gone,3
devil,3
imagination,3
event,3
today,3
appearing,3
que,3
board,3
asking,3
getting,3
guide,3
portal,3
glass,3
youtube,3
box,3
feel,3
explanation,3
footstep,3
working,3
sleeping,3
hand,3
parent,3
baby,3
almost,3
lmk,3
aunt,3
feeling,3
uncle,3
death,3
broken,3
ago,3
later,3
captured,3
college,3
housemy,3
uk,3
abandoned,3
girl,3
past,3
since,3
mountain,3
following,3
capture,3
unexplained,3
mallet,3
message,3
coming,3
noticed,3
poltergeist,3
image,3
turn,3
talk,3
true,3
ghostly,3
yt,3
hearing,3
appears,3
stair,3
channel,3
well,3
dating,3
sighting,3
nobody,3
footage,3
sister,3
kitchen,3
sharing,3
idea,3
three,3
tour,3
security,3
contact,3
passing,3
boyfriend,3
cousin,3
telling,2
foot,2
top,2
wife,2
moan,2
using,2
computer,2
unexplainable,2
recorder,2
hiking,2
flew,2
bc,2
woke,2
dreamsi,2
visiting,2
phantom,2
screen,2
book,2
experiencethe,2
pendle,2
third,2
husband,2
pushed,2
triggered,2
digital,2
go,2
terrified,2
debunk,2
whole,2
space,2
resident,2
particular,2
orb,2
woman,2
related,2
presence,2
taking,2
tat,2
medium,2
peaceful,2
unforgettable,2
also,2
scariest,2
cast,2
near,2
tripping,2
easy,2
middle,2
walking,2
listen,2
part,2
posted,2
kid,2
father,2
alien,2
im,2
nightmare,2
long,2
eye,2
catholic,2
sent,2
hide,2
everyone,2
appeared,2
bedroom,2
myth,2
moved,2
check,2
believed,2
encountered,2
recently,2
move,2
hallway,2
head,2
ca,2
center,2
street,2
waterloo,2
banshee,2
barking,2
ball,2
another,2
literally,2
lady,2
spotted,2
foreground,2
movie,2
tunnel,2
manor,2
hospital,2
cell,2
believer,2
hard,2
month,2
smell,2
podcast,2
cctv,2
looking,2
basement,2
entitymy,2
driving,2
set,2
attachment,2
homei,2
disappearing,2
vault,2
wall,2
country,2
passed,2
couple,2
nothing,2
proof,2
play,2
put,2
area,2
shepton,2
personal,2
tv,2
saved,2
touch,2
germany,2
hill,2
reaper,2
camping,2
short,2
world,2
different,2
spirt,2
humanoid,2
brightness,2
small,2
hate,2
flash,2
laundry,2
read,2
answer,2
curious,2
start,2
exist,2
week,2
iti,2
wondering,2
worker,2
looked,2
orleans,2
others,2
memory,2
knock,2
several,2
member,2
reacting,2
mirror,2
posting,2
mine,2
farm,2
spiritual,2
background,2
la,2
idk,2
negative,2
con,2
mysterious,2
residential,2
incident,2
meet,2
app,2
response,2
lava,2
canada,2
glitch,2
